
2021/10/24 (16:54:20) | ===> btop++ v.1.0.19
2021/10/24 (16:54:20) | INFO: Logger set to INFO
2021/10/24 (16:54:24) | INFO: Logger set to INFO
2021/10/24 (16:54:24) | INFO: Logger set to DEBUG
2021/10/24 (16:54:25) | INFO: Logger set to INFO
2021/10/24 (16:54:40) | ERROR: Failed to join _runner thread!

2021/10/24 (17:42:09) | ===> btop++ v.1.0.19
2021/10/24 (17:42:09) | ERROR: Failed to join _runner thread!

2021/10/24 (17:43:18) | ===> btop++ v.1.0.19
2021/10/24 (17:43:18) | ERROR: Failed to join _runner thread!

2021/10/24 (17:45:49) | ===> btop++ v.1.0.19
2021/10/24 (17:45:49) | ERROR: Failed to join _runner thread!

2021/10/24 (18:55:39) | ===> btop++ v.1.0.19
2021/10/24 (18:55:39) | ERROR: Failed to join _runner thread!

2021/10/24 (19:03:33) | ===> btop++ v.1.0.19
2021/10/24 (19:03:33) | ERROR: Failed to join _runner thread!

2021/10/24 (20:01:57) | ===> btop++ v.1.0.19
2021/10/24 (20:01:57) | ERROR: Failed to join _runner thread!

2021/10/24 (22:40:42) | ===> btop++ v.1.0.19
2021/10/24 (22:40:42) | ERROR: Failed to join _runner thread!

2021/10/25 (21:49:30) | ===> btop++ v.1.0.19
2021/10/25 (21:49:30) | ERROR: Failed to join _runner thread!

2021/11/27 (10:59:38) | ===> btop++ v.1.0.19
2021/11/27 (10:59:38) | ERROR: Failed to join _runner thread!

2021/12/27 (20:02:45) | ===> btop++ v.1.0.19
2021/12/27 (20:02:45) | ERROR: Failed to join _runner thread!

2022/02/06 (15:33:25) | ===> btop++ v.1.0.19
2022/02/06 (15:33:25) | ERROR: Failed to join _runner thread!

2022/02/06 (15:48:52) | ===> btop++ v.1.0.19
2022/02/06 (15:48:52) | ERROR: Failed to join _runner thread!

2022/02/06 (19:28:59) | ===> btop++ v.1.0.19
2022/02/06 (19:28:59) | ERROR: Failed to join _runner thread!

2022/02/07 (20:46:48) | ===> btop++ v.1.0.19
2022/02/07 (20:46:48) | ERROR: Failed to join _runner thread!

2022/02/12 (10:58:02) | ===> btop++ v.1.0.19
2022/02/12 (10:58:02) | ERROR: Failed to join _runner thread!

2022/02/19 (15:21:36) | ===> btop++ v.1.0.19
2022/02/19 (15:21:36) | ERROR: Failed to join _runner thread!

2022/02/19 (16:00:05) | ===> btop++ v.1.0.19
2022/02/19 (16:00:05) | ERROR: Failed to join _runner thread!

2022/02/20 (16:30:00) | ===> btop++ v.1.0.19
2022/02/20 (16:30:00) | ERROR: Failed to join _runner thread!

2022/02/24 (21:50:41) | ===> btop++ v.1.0.19
2022/02/24 (21:50:41) | ERROR: Failed to join _runner thread!

2022/02/26 (15:32:10) | ===> btop++ v.1.0.19
2022/02/26 (15:32:10) | ERROR: Failed to join _runner thread!

2022/02/26 (22:40:38) | ===> btop++ v.1.0.19
2022/02/26 (22:40:38) | ERROR: Failed to join _runner thread!

